Date,Region,Latitude,Longitude,Population,Population_Density,Avg_Age,Poverty_Index,Rainfall_mm,Temperature,Humidity,AQI,Water_Quality,Vaccination_Coverage,Hospital_Access_km,Bed_Capacity,Doctor_Ratio,Mobility_Index,Mosquito_Index,Disease_Cases,Disease_Type,Mortality_Rate,Health_Posts,Misinformation_Index,Sentiment,Previous_Outbreak,Emergency_Response_Time,AI_Risk_Score,Risk_Level
2021-01-01,FCT,8.4921,6.3383,983912,254,37.1,0.76,296.6,22.9,39.5,36,49.6,73.5,26.8,198,2.11,3.2,85.8,282,Dengue,28.66,174,50.5,-0.95,0,7.0,46.1,Medium
2021-01-02,Oyo,9.7735,11.4549,1856182,2807,19.0,0.23,40.9,25.6,54.4,98,57.4,67.7,24.3,1514,1.66,12.5,45.9,195,Malaria,10.51,437,55.2,0.66,0,6.0,44.6,Medium
2021-01-03,Delta,6.1962,6.8914,897261,3163,34.9,0.06,111.2,30.7,54.8,104,89.3,48.1,20.3,1457,3.28,64.8,57.4,215,COVID-19,23.96,205,53.4,-0.51,0,6.8,57.5,High
2021-01-04,Oyo,6.1932,14.9705,1819852,4696,29.2,0.09,350.5,24.3,74.6,111,42.8,89.9,19.5,312,1.0,24.7,100,359,Malaria,19.73,78,74.7,-0.14,1,15.2,69.2,High
2021-01-05,Kaduna,13.7189,12.1435,3591334,4935,29.2,0.11,25.4,25.6,97.7,145,77.5,39.9,16.8,1950,0.14,72.1,58.9,275,Lassa Fever,7.66,311,76.9,-0.32,1,5.2,58.3,High
2021-01-06,Kano,4.8565,8.8319,3186616,1373,19.5,0.76,215.8,33.6,66.1,10,86.0,67.3,14.9,249,3.26,87.9,93.6,323,Cholera,10.14,337,23.9,-0.52,1,11.7,53.2,High
2021-01-07,Anambra,9.5392,10.0613,4662086,1402,18.2,0.71,106.0,35.4,58.8,64,43.5,93.4,22.8,1432,0.78,31.2,65.8,230,Malaria,4.93,463,43.8,0.04,1,1.2,41.1,Medium
2021-01-08,Enugu,8.111,13.366,2821835,630,19.2,0.65,205.7,23.6,63.0,148,78.8,30.5,28.1,1189,2.06,24.3,82.4,383,Malaria,13.57,206,19.0,-0.81,1,17.6,64.9,High
2021-01-09,FCT,5.6631,8.8277,966615,2086,22.7,0.4,76.6,28.7,39.5,56,43.5,42.0,7.9,1910,0.36,80.8,46.0,220,Dengue,22.76,1,5.1,1.0,0,23.7,47.7,Medium
2021-01-10,Delta,13.1939,9.3735,2274684,3777,19.3,0.51,114.1,31.9,79.7,210,91.1,63.9,21.7,337,0.75,21.8,59.5,202,Malaria,8.88,304,74.8,-0.89,0,2.1,60.0,High
2021-01-11,Borno,7.1618,12.0224,2023033,3357,19.6,0.46,48.0,35.8,46.7,162,99.9,23.1,2.9,1366,2.08,52.3,44.1,237,Malaria,11.72,37,67.0,-0.37,0,13.1,62.2,High
